sample.id	cell.type	sample.type	qc.seq
ERR1562084	iPSC	Single Cell	pass
ERR1562085	iPSC	Single Cell	pass
ERR1562086	iPSC	Single Cell	pass
ERR1562087	iPSC	Single Cell	pass
ERR1562088	iPSC	Single Cell	pass
ERR1562091	iPSC	Single Cell	pass
ERR1562092	iPSC	Single Cell	pass
ERR1562093	iPSC	Single Cell	pass
ERR1562094	iPSC	Single Cell	fail
ERR1562095	iPSC	Single Cell	pass
ERR1562096	iPSC	Single Cell	pass
ERR1562097	iPSC	Single Cell	pass
ERR1562098	iPSC	Single Cell	pass
ERR1562099	iPSC	Single Cell	pass
ERR1562100	iPSC	Single Cell	pass
ERR1562101	iPSC	Single Cell	pass
ERR1562102	iPSC	Single Cell	pass
ERR1562103	iPSC	Single Cell	pass
ERR1562104	iPSC	Single Cell	pass
ERR1562105	iPSC	Single Cell	pass
ERR1562180	Endoderm	Single Cell	pass
ERR1562183	Endoderm	Single Cell	pass
ERR1562184	Endoderm	Single Cell	pass
ERR1562185	Endoderm	Single Cell	fail
ERR1562188	Endoderm	Single Cell	pass
ERR1562189	Endoderm	Single Cell	pass
ERR1562190	Endoderm	Single Cell	pass
ERR1562194	Endoderm	Single Cell	pass
ERR1562195	Endoderm	Single Cell	pass
ERR1562199	Endoderm	Single Cell	pass
ERR1562200	Endoderm	Single Cell	pass
ERR1562201	Endoderm	Single Cell	pass
ERR1562204	Endoderm	Single Cell	fail
ERR1562206	Endoderm	Single Cell	pass
ERR1562207	Endoderm	Single Cell	pass
ERR1562208	Endoderm	Single Cell	pass
ERR1562209	Endoderm	Single Cell	pass
ERR1562210	Endoderm	Single Cell	fail
ERR1562214	Endoderm	Single Cell	pass
ERR1562217	Endoderm	Single Cell	pass
