gene_id	ERR1562084	ERR1562085	ERR1562086	ERR1562087	ERR1562088	ERR1562091	ERR1562092	ERR1562093	ERR1562094	ERR1562095	ERR1562096	ERR1562097	ERR1562098	ERR1562099	ERR1562100	ERR1562101	ERR1562102	ERR1562103	ERR1562104	ERR1562105	ERR1562180	ERR1562183	ERR1562184	ERR1562185	ERR1562188	ERR1562189	ERR1562190	ERR1562194	ERR1562195	ERR1562199	ERR1562200	ERR1562201	ERR1562204	ERR1562206	ERR1562207	ERR1562208	ERR1562209	ERR1562210	ERR1562214	ERR1562217
ENSG00000067225.18	256.41	262.55	360.15	154.44	182.79	127.59	62.72	230.29	181.52	95.66	166.2	244.49	223.41	260.46	234.02	193.34	349.24	191.5	203.98	165.72	689.9	1386.78	1428.41	461.14	867.27	1118.03	1139.59	375.75	1039.63	2033.23	1660.3	1394.24	892.29	3024.5	2354.89	1799.54	1448.84	317.85	735.67	601.04
ENSG00000105372.7	1403.8	2162.81	1620.73	1710.19	1526.78	1304.8	1781.59	3138.47	3362.17	1499.92	1574.84	1668.78	1154.22	1552.64	1921.65	1793.84	1971.53	1672	2285.05	1497.38	1273.02	2306.16	3401.01	4434.24	1797.6	1893.56	2973.69	4257.37	2055.28	2373.29	2133.02	2283.23	5284.66	1842.22	2863.11	2801.67	4384.76	5449.66	5382.89	2518.65
ENSG00000107223.13	88.83	274.08	207.41	115.03	73.61	75.46	207.56	132.85	219.2	172.67	144.26	63.87	116.42	147.74	163.57	129.99	130.08	286.44	150.66	121.61	2.97	251.65	418.66	170.04	134.27	209.44	95.79	117.19	105.61	142.23	244.57	268.3	192.23	194.45	36.29	166.48	84.26	364.54	132.66	212.07
ENSG00000111237.18	320.47	239.57	290.13	344.43	423.75	723.11	252.4	37.31	216.84	488.84	248.91	206.35	384.87	150.29	58.03	209.9	240.25	260.26	264.18	315.43	390.82	430.07	209.45	0	212.24	290.59	132.83	186.99	130.68	523.78	33.1	203.71	0	249.48	128.47	353.58	155.75	153.96	222.9	41.65
ENSG00000113648.16	67.33	112.51	58.91	83.81	31.41	62.38	115.48	59.61	5.31	58.72	86.14	69.28	29.03	108.02	63.56	99.39	146.27	68.98	100.65	127.79	109.32	114.07	182.78	9.72	27.39	190.59	115.24	49.06	54.8	40.93	48.07	7.66	164.98	158.84	70.8	77.24	2.52	32.9	164.26	171.18
ENSG00000120675.6	11.94	50	6.75	12.34	32.59	10.49	21.39	10.91	9.42	18.25	36.65	21.36	33.86	12.3	12.87	4.58	33.59	16.36	2.6	37.25	145.77	26.46	93.64	0	373.37	96.95	21.44	14.17	54.81	38.85	46.69	42.08	4.15	183.16	237.77	169.94	13.94	4.42	7.94	51.55
ENSG00000128739.22	572.74	401.59	1031.44	431.93	457.3	549.51	581.6	666.45	539.36	457.59	903.91	723.86	466.06	314.19	741.42	670.41	561.76	570.56	738.72	621.23	281.69	346.69	345.41	172.35	363.6	306.56	295.01	569	115.04	478.96	373.66	459.81	298.68	495.08	186.73	321.38	272.85	205.08	497.1	353.57
ENSG00000138326.20	3735.06	2886.29	2435.63	2402.27	2662.77	3036.49	2900.36	3500.84	2289.85	2285.39	2738.95	3501.48	2250.43	2050.27	2987.06	2675.32	2755.82	1997.51	3633.08	2689.1	1900.66	2389.41	3392.27	5575.25	2191.75	3393.98	2158.94	2603.81	2214.82	2084.52	2424.35	2229.08	3175.07	1675.09	2591.5	2608.99	2259.68	2108.72	4719.3	2525.79
ENSG00000143727.16	74.28	141.6	198.74	108.12	133.19	75	184.88	63.48	107.52	147.56	243.64	208.92	181.36	250.22	81.64	299.95	289.42	271.52	63.84	149.1	0	377.19	45.22	0	189.2	18.91	466.87	250.84	33.86	76.7	397.76	7.16	0	0	341.97	125.43	38.77	103.11	575.88	130.17
ENSG00000156482.11	4809.89	3929.12	3191.44	4332.06	4259.62	4455.29	2958.06	4642.61	2504.71	3353.21	3742.05	5412.26	3681.19	3671.17	3803.82	3665.34	4239.17	4078.83	4546.13	3922.53	3595.53	4714.05	5280.38	5743.04	5120.42	7579.54	5184.59	5567.77	3221.46	3707.05	2695.52	4177.54	3282.91	2790.79	4074.04	3386.91	2814.55	2970.85	6751.52	4303.15
ENSG00000161970.15	2649.07	2467.31	2720.37	2523.17	3124.56	2285.51	2418.88	1906.57	3953.78	2267.14	2817.44	2982.29	2021.74	2311.54	2110.74	3039.5	2660.12	2049	3531.59	1857.29	1728.48	3166.41	3168.28	2432.47	3379.97	3261.72	4554.3	5428.29	3396.67	3649.74	1733.89	2571.55	6923.04	2089.29	5505.4	3387.53	4618.36	5086.82	5196.99	4010.89
ENSG00000163682.16	9248.85	4877.52	3784.06	7008.65	5836.88	7043.2	6730.41	4620.91	4407.98	7463.7	5786.41	7531.01	5479.55	6985.27	7846.61	3166.74	4415.93	3593.86	4788.71	6780.49	7269.04	3906.25	8496.6	7141.49	8361.31	5124.79	5276.59	9357.62	7203.81	4193.02	3928	4909.73	6433.58	3098.47	5312.44	4839.27	5489.31	6118.92	8369.48	5691.13
ENSG00000168002.12	423.07	619.9	393.8	431.92	366.57	205.39	327.52	335.28	183.86	402.77	311.3	327.48	342.67	300.29	527.28	435.58	675.99	492.81	823.53	225.75	547.45	442.59	631.26	25.62	269.94	3.64	418.38	79.09	179.85	344.21	40.51	82.85	89.09	104.87	90.04	407.75	0	0	160.92	539.91
ENSG00000173915.16	2499.08	1406.53	2128.44	4467.26	1535.74	4400.96	2312.08	2248.52	360.59	3279.13	1931.78	3579.87	2391.76	3330.86	2642.02	1092.87	1394	2695.53	1639.51	2331	2398.1	2472.77	3052.86	4408.25	1181.45	2759.91	1630.45	1746.59	4259.49	1139.94	373.18	1574.3	1759.41	690.31	1229.67	1603.94	609.8	1493.03	1217.01	2063.58
