sample.id	cell.type	sample.type	qc.seq
ERR1562084	iPSC	Single Cell	pass
ERR1562085	iPSC	Single Cell	pass
ERR1562086	iPSC	Single Cell	pass
ERR1562087	iPSC	Single Cell	pass
ERR1562088	iPSC	Single Cell	pass
ERR1562091	iPSC	Single Cell	pass
ERR1562092	iPSC	Single Cell	pass
ERR1562093	iPSC	Single Cell	pass
ERR1562095	iPSC	Single Cell	pass
ERR1562096	iPSC	Single Cell	pass
ERR1562097	iPSC	Single Cell	pass
ERR1562098	iPSC	Single Cell	pass
ERR1562099	iPSC	Single Cell	pass
ERR1562100	iPSC	Single Cell	pass
ERR1562101	iPSC	Single Cell	pass
ERR1562102	iPSC	Single Cell	pass
ERR1562103	iPSC	Single Cell	pass
ERR1562104	iPSC	Single Cell	pass
ERR1562105	iPSC	Single Cell	pass
ERR1562106	iPSC	Single Cell	pass
ERR1562107	iPSC	Single Cell	pass
ERR1562108	iPSC	Single Cell	pass
ERR1562109	iPSC	Single Cell	pass
ERR1562110	iPSC	Single Cell	pass
ERR1562111	iPSC	Single Cell	pass
ERR1562112	iPSC	Single Cell	pass
ERR1562113	iPSC	Single Cell	pass
ERR1562114	iPSC	Single Cell	pass
ERR1562115	iPSC	Single Cell	pass
ERR1562116	iPSC	Single Cell	pass
ERR1562117	iPSC	Single Cell	pass
ERR1562118	iPSC	Single Cell	pass
ERR1562119	iPSC	Single Cell	pass
ERR1562120	iPSC	Single Cell	pass
ERR1562121	iPSC	Single Cell	pass
ERR1562122	iPSC	Single Cell	pass
ERR1562123	iPSC	Single Cell	pass
ERR1562124	iPSC	Single Cell	pass
ERR1562125	iPSC	Single Cell	pass
ERR1562126	iPSC	Single Cell	pass
ERR1562127	iPSC	Single Cell	pass
ERR1562128	iPSC	Single Cell	pass
ERR1562129	iPSC	Single Cell	pass
ERR1562130	iPSC	Single Cell	pass
ERR1562131	iPSC	Single Cell	pass
ERR1562132	iPSC	Single Cell	pass
ERR1562133	iPSC	Single Cell	pass
ERR1562134	iPSC	Single Cell	pass
ERR1562135	iPSC	Single Cell	pass
ERR1562136	iPSC	Single Cell	pass
