gene_id	ERR1562083	ERR1562084	ERR1562085	ERR1562086	ERR1562087	ERR1562088	ERR1562089	ERR1562090	ERR1562091	ERR1562092	ERR1562093	ERR1562094	ERR1562095	ERR1562096	ERR1562097	ERR1562098	ERR1562099	ERR1562100	ERR1562101	ERR1562102	ERR1562103	ERR1562104	ERR1562105	ERR1562106	ERR1562107	ERR1562108	ERR1562109	ERR1562110	ERR1562111	ERR1562112	ERR1562113	ERR1562114	ERR1562115	ERR1562116	ERR1562117	ERR1562118	ERR1562119	ERR1562120	ERR1562121	ERR1562122	ERR1562123	ERR1562124	ERR1562125	ERR1562126	ERR1562127	ERR1562128	ERR1562129	ERR1562130	ERR1562131	ERR1562132	ERR1562133	ERR1562134	ERR1562135	ERR1562136	ERR1562137	ERR1562138	ERR1562139	ERR1562140	ERR1562141	ERR1562142	ERR1562143	ERR1562144	ERR1562145	ERR1562146	ERR1562147	ERR1562148	ERR1562149	ERR1562150	ERR1562151	ERR1562152	ERR1562153	ERR1562154	ERR1562155	ERR1562156	ERR1562157	ERR1562158	ERR1562159	ERR1562160	ERR1562161	ERR1562162	ERR1562163	ERR1562164	ERR1562165	ERR1562166	ERR1562167	ERR1562168	ERR1562169	ERR1562170	ERR1562171	ERR1562172	ERR1562173	ERR1562174	ERR1562175	ERR1562176	ERR1562177	ERR1562178	ERR1562179	ERR1562180	ERR1562181	ERR1562182	ERR1562183	ERR1562184	ERR1562185	ERR1562186	ERR1562187	ERR1562188	ERR1562189	ERR1562190	ERR1562191	ERR1562192	ERR1562193	ERR1562194	ERR1562195	ERR1562196	ERR1562197	ERR1562198	ERR1562199	ERR1562200	ERR1562201	ERR1562202	ERR1562203	ERR1562204	ERR1562205	ERR1562206	ERR1562207	ERR1562208	ERR1562209	ERR1562210	ERR1562211	ERR1562212	ERR1562213	ERR1562214	ERR1562215	ERR1562216	ERR1562217	ERR1562218	ERR1562219	ERR1562220	ERR1562221	ERR1562222	ERR1562223	ERR1562224	ERR1562225	ERR1562226	ERR1562227	ERR1562228	ERR1562229	ERR1562230	ERR1562231	ERR1562232	ERR1562233	ERR1562234	ERR1562235	ERR1562236	ERR1562237	ERR1562238	ERR1562239	ERR1562240	ERR1562241	ERR1562242	ERR1562243	ERR1562244	ERR1562245	ERR1562246	ERR1562247	ERR1562248	ERR1562249	ERR1562250	ERR1562251	ERR1562252	ERR1562253	ERR1562254	ERR1562255	ERR1562256	ERR1562257	ERR1562258	ERR1562259	ERR1562260	ERR1562261	ERR1562262	ERR1562263	ERR1562264	ERR1562265	ERR1562266	ERR1562267	ERR1562268	ERR1562269	ERR1562270	ERR1562271	ERR1562272	ERR1562273	ERR1562274
ENSG00000004864.13	33.51	13.89	24.5	33.01	26.28	55.56	0	35	59.2	33.51	68.28	0	60.32	53.46	61.97	30.22	39.7	14.55	29.32	24.33	27.55	47.72	21.23	62.86	56.3	2.49	39.53	10.89	27.36	58.61	29.79	20.49	38.3	12.45	19.22	12.83	39.41	13.33	14.07	23.79	32.83	42.7	22.49	37.57	49.37	43.48	17.51	17.84	84.45	19.19	3.28	39.5	29.68	18.58	31.64	26.84	18.79	19.94	19.47	19.12	33.09	9.81	54.11	18.3	0	0	0	0	0	0	0	0	43.22	19.7	3.53	51.86	57.71	39.16	28.06	9.59	20.11	21.52	32.87	36.35	20.13	74.07	33.49	19.69	34.77	9.86	7.65	53.09	43.53	105.76	30.04	0	92.83	42.56	16.26	0	15.04	13.18	43.24	61.75	107.85	35.63	1.49	60.56	1.82	0	0	11.11	96.22	0	0	2.2	57.26	88.93	29.83	73.81	0	0	72.19	74.13	93.14	49.35	5.07	150.74	85.06	15.43	0	0.54	0	0	20.28	0.36	141.97	5.47	0	42.83	15.48	19.13	35.85	32.44	31.41	62.26	91.21	4.1	0	65.21	23.56	172.59	0	0.95	19.22	65.48	13.67	0	0	38.64	22.01	110.52	110.78	55.79	93.35	35.64	27.31	0	54.62	0	1.58	0	30.02	0	0	118.08	60.74	0	14.14	0	27.54	0	0	50.48	0	14.9	64.57	42.7	70.46	53.69	13.68	0
ENSG00000006451.8	184.33	53.25	38.08	141.84	61.73	155.87	541.04	128.92	64.01	141.03	81.51	105.68	103.11	68.15	143.14	191.64	89.68	206.42	76.15	110.22	74.72	165.64	325.38	153.32	66.19	235.31	170.05	72.66	192.55	66.42	128.58	131.17	94.2	249.62	114.27	54.26	80.39	68.71	138.76	119.87	177.96	231.78	59.19	188.39	93.48	109.89	247.19	78.04	214.05	100.33	87.73	98.02	133.47	87.23	168.88	142.75	153.78	50.5	84.63	120.36	143.58	19.95	36.07	126.5	0	0	0	0	0	0	0	0	136.63	53.97	78.45	83.4	106.56	130.93	219.43	141.92	192.82	109.01	127.14	85.61	59.57	261.28	108.01	118.41	230.15	112.82	120.89	69.12	256.7	96.86	154.67	33.64	92.65	199.07	0	0	67.94	73.78	0	98.07	13.26	65.16	497.13	45.36	0	0	0	41.45	4.92	7.38	0	0	201.45	11.4	41.88	30.14	0.7	0	0	23.31	4.48	59.51	9.65	0	0	0	89.53	27.65	0	0	84.69	92.64	64.64	19.72	0	19.08	0	0	69.71	103.72	115.94	24.44	190.28	92.86	0	4.76	56.22	0	0	0	19.23	6.57	4.92	0	0	19.01	24.92	135.3	93.48	123.7	9.73	22.05	0	0	64.01	0	36.28	0	332.7	19.63	0	60.62	76.31	21.81	61.32	0	3.32	0	0	26.36	45.65	46.04	19.56	137.33	41.25	43.82	91.55	0
ENSG00000052802.13	382.03	85.02	100.02	1185.42	163.62	160.61	0	439.56	47.68	89.45	74.41	1.72	183.7	111.09	186.9	334.68	388.08	175.63	196.75	63.47	499.33	251.03	482.89	538.24	857.27	839.97	46.59	78.01	255.49	146.31	399.53	104.39	175.54	118.19	128.73	514.55	191.41	108.08	58.44	17.85	340.38	43.5	1.32	152.86	174.2	159.23	61.68	5.81	248.52	113.74	91.47	379.15	159.16	526.37	96.78	91.75	361.3	92.6	26	107.55	147.77	75.55	237.77	62.48	0	0	0	0	0	0	0	0	107.56	79.88	51.23	76.16	180.27	147.14	53.72	275.78	110.63	189.39	261.73	24.58	138.24	150.75	91.8	361.24	145.35	388.93	509.12	292.4	107.62	105.15	382.09	0	260.14	88.27	0	0	277.94	90.36	188.59	111.86	2.95	959.43	74.01	14.11	1.32	0	0	191.51	99.23	0	0	0	96.01	515.42	169.67	0	0	21.32	0	521.31	144	161.36	20	55.47	1.86	0	73.21	1.35	0	6.41	212.45	117.79	528.86	261.51	0	253.29	10.12	0	12.37	297.64	452.88	252.97	241.05	19.51	5.96	2.63	0.58	7.68	0	0	65.53	77.78	0	0	8.66	137.61	26.21	217.21	35.56	41.97	127.83	52.26	0	41.26	364.51	0	24.81	0	210.18	0	0	68.35	102.51	382.55	46.38	3.76	0	0	0	33.4	210.83	0	7.26	0	252.68	78.38	609.76	0
ENSG00000054118.15	42.77	51.32	99.56	102.09	69.25	115.01	0.42	62.03	79.51	78.68	75.86	0.86	93.09	53.09	97.7	96.77	47.44	77.57	70.5	53.86	106.94	75.31	34.94	37.86	76.45	91.12	76.93	71.08	91.16	124.59	64.17	104.77	56.57	59.76	108.85	140.35	78.18	77.82	51.1	91.04	95.01	76.64	67.29	40.05	65.63	68.78	45.23	80.78	68.28	72.72	74.95	110.99	78.84	64.21	42.38	70.07	80.43	90.72	68.58	86.85	81.67	124.31	84.89	38.31	0	0	0	0	0	0	0	0	156.52	75.36	115.29	109.03	81.14	106.19	21.85	48.81	56.11	95.29	59.71	201.52	56.28	42.13	89.29	96.37	52.38	76.61	47.45	80.54	128.19	78.98	31.23	0	28.83	67.33	5.42	0	22.4	25.81	0.6	54.12	14.01	5.75	0	73.85	0	0	0	23.82	12.59	0	0	0	13.64	113.71	17.85	47.72	0.57	0	1.14	85.91	57.21	81.86	1.16	1.3	0	4.45	103.39	29.94	0	0	33.8	42.77	35.37	123.6	0	11.38	0	30.54	3.83	54.25	48.85	59.21	7.04	21.08	8.16	32.32	43.37	84.45	0	0	12.92	97.5	0	17.98	4.99	3.33	21.67	8.15	76.04	27.83	134.95	43.82	0	0	40.22	0	6.97	0	38.21	0	0	27.1	8.55	6.05	13.94	0	0.45	0	0	44.19	24.97	3.37	130.31	20.95	35.79	39.85	14.92	0
ENSG00000078140.14	242.87	186.76	208.34	111.81	105.13	165.76	0	217.31	231.36	216.61	68.05	317.73	89.49	264.16	358.56	148.47	141.8	151.98	123.72	94.99	68.03	200.5	487.64	67.3	76.1	135.14	160.82	160.23	169.52	137.27	292.85	186.19	104.09	52.78	114.51	176.44	95.97	50.82	227.5	94.87	55.99	168.48	134.27	159.45	122.91	225.41	188.55	231.26	258.01	87.13	177.51	152.77	47.71	137.17	272.84	342.1	137.74	260.11	143.77	147.17	155.66	56.48	124.7	71.21	8019.88	0	0	0	0	0	0	0	303.72	147.19	78.18	108.22	258.69	228.66	60.27	215.08	98.57	265.67	180.07	108.81	188.11	178.49	269.02	205.59	208.22	230.43	237.83	117.39	201.49	136.51	95.16	0	70.3	105.37	822.22	0	88.35	78.24	48.98	93.1	0	0	84.36	11.52	0	0	0	201.75	35.12	0	55.51	0	128.13	198.55	72.51	4.11	2.83	222.83	2.13	193.01	63.94	260.11	24.79	44.3	0.59	307.06	0	24.99	0	364.31	38.08	7.56	85.94	95.07	0	9.12	56.04	47.22	32.38	73.49	154.18	37.37	21.25	320.38	17.95	272.27	34.08	16.41	14.78	43.29	153.86	185.08	0	107.06	110.4	0	76.28	42.25	82.79	106.58	27.74	200.78	0	8.82	38.21	0	11.63	0.49	87.52	5.56	425.84	74.13	204.27	70.13	34.07	0	23.01	0	12.61	90.73	105.9	0	40.3	85.93	69.26	57.03	54.65	0
ENSG00000092841.18	1119.27	1265.58	1782.1	1886.93	1769.86	1790.37	700.41	1345.82	1200.24	1641.66	1746.41	2175.28	1527.19	2398.65	1039.67	1082.94	1674.12	1547.96	2120.74	2025.63	1822.72	2391.07	1054.74	1284.47	1667.23	1850.84	1496.08	3021.15	1879.65	1997.62	2400.72	2378.73	2051.39	1449.9	1978.55	1621.05	1973.16	2509.83	1516.02	2358.45	2053.37	2170.66	1396.12	1917.44	2514.82	1766	1883.58	2035.08	1573.71	1521.07	3818.89	2741.36	2123.87	1840.94	1513.55	1476.47	1864.61	2344.78	2066.5	2064.59	1703.52	1881.98	2310.37	1583.19	0	11355.15	0	11918.04	16231.6	0	0	0	1336.7	1142.05	1519.49	1554.36	2766.05	2312.74	1861.15	2729.32	807.37	1124.03	1466.84	1614.29	1776.34	1899.04	1408.46	2244.11	1160.16	1395.66	1697.79	1491.37	2560.52	1190.73	983.18	115.93	1470.95	828.09	3372.64	462.37	2074.2	2895.96	3282.56	2506.83	228.78	1893.42	1917.59	2637.99	1535.03	5297.9	7068.88	1439.46	2120.32	1633.77	4578.23	2633.95	1639.32	2277.03	1955.7	1446.68	2294.02	2385.85	2187.2	1915.4	1183.17	2574.28	1964.58	5914.91	3436.52	5673.47	1514.33	648.9	3420.25	1048.61	2082.12	3180.56	3279.05	1124.22	2733.11	3218.05	6223.59	1480.65	3271.86	2303.16	1498.52	2985.07	1741.96	2182.05	3733.12	1712.87	2291	211.63	4364.65	3300.05	1347.9	2070.48	2177.97	3703.26	5373.05	3132	2670.73	2259.49	2298.44	2935.87	1542.7	2973.72	3204.12	3320.39	990.48	3498.83	6058.81	6040.36	1383.36	1329.82	1556.42	1257.48	1310.57	2195.43	1598.31	3576.69	432.56	1035.53	0	1728.51	1005.35	1157.97	2255.39	2381.25	1070.8	2607.12	1949.27	411.95
ENSG00000100138.15	109.53	196	218.36	165.61	180.78	168.37	87.98	95.26	185.97	227.32	103.75	200.68	175.93	85.67	101.72	97.73	181.76	148.37	146.09	262.96	234.8	237.34	106.91	130.65	230.65	30.94	181.12	243.3	385.13	243.13	165.52	169.54	190.19	282.28	312.92	354.46	230.02	290.83	223.84	187.86	228.73	307.33	186.93	350.3	291.19	153.2	152.27	118.85	178.22	286.82	234.98	286.72	355.01	230.15	158.61	190.62	177.07	125.17	132.26	280.73	364.47	246.89	128.98	214.87	0	0	0	0	0	0	0	0	166.49	184.66	159.95	221.12	167.59	186.24	87.27	266.94	149.01	192.68	201.35	235.38	223.95	138.1	86.37	80.53	60.85	127.41	183.23	166.69	200.77	102.11	89.86	0	132.34	150.56	291.59	0	136.89	127.2	174.25	124.54	121.57	29.72	64.92	44.96	0	1078.18	0	205.23	60.81	16.4	6.79	0	109.59	447.68	35.59	302.26	29.39	84.53	0	187.97	84.18	181.26	86.06	125.92	1227.09	0	44.86	110.98	196.34	310.48	178.51	120.18	195.94	118.65	9.62	273.88	0	177.46	245.71	251.78	13.4	235.18	75	210.45	0	393.02	201.97	0	205.92	0	365.83	261.6	16.63	14.63	0	99.93	247.28	203.72	252.97	46.33	183.5	472.47	24.19	0	43.14	0	341.25	62.68	216.01	175.68	893.11	75.37	21.67	9.31	279.03	0	40.15	282.03	0	74.25	99.5	109.03	155.56	69.05	71.25	304.22	116.22	0
ENSG00000105568.18	33.31	90.93	189.32	119.29	67.81	120.16	0	79.78	122.53	48.22	130.71	283.99	142.04	169.82	179.7	69.53	129.44	136.59	212.08	201.33	138.19	179.65	113.14	117.89	125.95	107.22	274.21	142.48	214.6	234.89	159.03	142.25	121.9	219.84	188.06	168.39	252	158.27	71.64	131.56	82.98	105.08	128.57	190.63	173.62	263.18	86.04	100.82	147.85	157.66	80.13	207.29	204.91	223.36	77.84	81.29	135.34	53.48	134.21	188.05	267.4	144.32	161.75	189.16	0	0	0	0	0	0	0	0	134.19	145.78	168.19	153.06	195.18	143.85	97.48	277.67	95.67	93.92	152.8	297.03	105.84	161.5	137.63	165.61	104.91	92.45	106.72	162.33	152.56	121.98	68.07	0	77.31	62.4	4.06	139.65	137.94	74.88	47.55	106.9	19.11	16	48	158.81	20.64	0	0	43.05	74.14	0	10.07	6.45	112.94	183.4	89.38	90.49	29.46	1109.42	39.64	208.65	207.96	334.04	49.35	95.44	10.21	0	125.19	92.62	0	52.73	79.66	19.19	32.8	164.66	0	61.63	5.28	84.56	138.9	109.47	47.64	7.79	19.81	97.07	21.59	142.7	78.79	14.44	2.43	3.52	86.36	67.32	14.1	1.08	0	87.2	12.19	71.28	158.27	176.63	108.01	41.69	119.11	30.6	76.36	4.32	201.57	15.77	333.65	41.29	0	227.5	67.06	89.19	17.7	0	0	0	0	121.24	101.03	31.13	162.05	156.69	62.05	53.1	70.25	0
ENSG00000111237.18	505.4	320.47	239.57	290.13	344.43	423.75	38.59	362.32	723.11	252.4	37.31	216.84	488.84	248.91	206.35	384.87	150.29	58.03	209.9	240.25	260.26	264.18	315.43	259.13	311.22	192.25	171.66	168.19	322.12	291.45	229.04	203.52	258.77	254.86	337.55	283.41	131.42	431.85	295	646.98	248.34	182.58	346.82	393.05	311.02	313.86	352.72	135.02	286.76	359.25	266.89	278.55	188.29	469.32	301.39	245.37	226.33	173.19	356.04	202.87	317.33	156.58	434.58	177.16	0	0	0	0	0	0	0	0	254.04	228.36	253.6	172.98	196.24	471.38	257.37	364.31	439.53	217.74	253.44	407.33	137.22	270.32	314.3	350.52	249.96	401.53	604.79	226.33	410.88	561.06	311.28	206.34	225.49	390.82	10.61	963.94	430.07	209.45	0	197.07	0	212.24	290.59	132.83	0	55.87	67.03	186.99	130.68	47.78	0	0	523.78	33.1	203.71	0	0	0	22.61	249.48	128.47	353.58	155.75	153.96	0	16.48	0	222.9	16.46	0	41.65	275.92	252.38	593.46	0	127.23	0	35.42	435.49	262.26	106.21	197.53	235.88	34.55	0	476.9	18.8	7.46	0	72.4	83.35	166.09	4.51	70.53	354.87	421.44	18.54	388.85	113.67	168.75	2.56	366.87	0	71.08	288.39	0	480.25	14.2	420.16	283.51	0	228.47	326.14	265.4	391.35	0	841.95	0	0	417.35	523.43	32.49	393.03	454.53	203.85	519.39	274.22	0
ENSG00000128739.22	344.41	572.74	401.59	1031.44	431.93	457.3	72.28	560.69	549.51	581.6	666.45	539.36	457.59	903.91	723.86	466.06	314.19	741.42	670.41	561.76	570.56	738.72	621.23	608.5	552.53	822.07	634.97	671.72	690.81	838.73	739.64	771.41	484.82	486.5	655.89	619.33	727.51	919.72	525.15	587.48	548.8	653.67	457.26	616.78	717.43	504.73	617.71	583.88	795.53	616.82	600.55	569.66	646.29	636.81	513.53	444.99	610.82	514.45	615.74	722.2	748.52	611.86	579.69	503.19	0	0	0	0	0	0	0	0	461.48	505	512.89	643.57	758.18	504.91	474.55	564.5	492.26	430.63	517.6	591.85	583.09	752.47	834.94	727.08	421.3	706.32	673.31	603.43	668.98	657	613.91	0	242.58	281.69	9.69	18.25	346.69	345.41	172.35	328.61	1.52	363.6	306.56	295.01	5.49	819.58	0	569	115.04	342.66	80.84	246.74	478.96	373.66	459.81	161.92	20.58	298.68	27.47	495.08	186.73	321.38	272.85	205.08	24.25	135.12	112.92	497.1	39.62	117.59	353.57	267.93	184.88	625.46	235.88	239.88	91.72	298.05	415.75	253.87	191.8	229.67	237.1	462.72	12.56	414.46	350.86	144.78	30.29	45.05	140.91	338.99	2.47	0	21.11	421.43	175.38	207.92	248.93	568.31	215.62	339.32	1.69	32.13	362.67	222.27	76.55	265.42	683.39	356.34	0	305.02	309.78	104.35	356.52	181.85	16.32	187.86	3.89	282.67	147.34	1.5	112.5	64.34	459.01	237.9	212.58	0
