sample.id	cell.type	sample.type	qc.seq
ERR1562083	Unknown	Single Cell	pass
ERR1562084	iPSC	Single Cell	pass
ERR1562085	iPSC	Single Cell	pass
ERR1562086	iPSC	Single Cell	pass
ERR1562087	iPSC	Single Cell	pass
ERR1562088	iPSC	Single Cell	pass
ERR1562089	Unknown	Single Cell	fail
ERR1562090	Unknown	Single Cell	pass
ERR1562091	iPSC	Single Cell	pass
ERR1562092	iPSC	Single Cell	pass
ERR1562093	iPSC	Single Cell	pass
ERR1562094	iPSC	Single Cell	pass
ERR1562095	iPSC	Single Cell	pass
ERR1562096	iPSC	Single Cell	pass
ERR1562097	iPSC	Single Cell	pass
ERR1562098	iPSC	Single Cell	pass
ERR1562099	iPSC	Single Cell	pass
ERR1562100	iPSC	Single Cell	pass
ERR1562101	iPSC	Single Cell	pass
ERR1562102	iPSC	Single Cell	pass
ERR1562103	iPSC	Single Cell	pass
ERR1562104	iPSC	Single Cell	pass
ERR1562105	iPSC	Single Cell	pass
ERR1562106	iPSC	Single Cell	pass
ERR1562107	iPSC	Single Cell	pass
ERR1562108	iPSC	Single Cell	pass
ERR1562109	iPSC	Single Cell	pass
ERR1562110	iPSC	Single Cell	pass
ERR1562111	iPSC	Single Cell	pass
ERR1562112	iPSC	Single Cell	pass
ERR1562113	iPSC	Single Cell	pass
ERR1562114	iPSC	Single Cell	pass
ERR1562115	iPSC	Single Cell	pass
ERR1562116	iPSC	Single Cell	pass
ERR1562117	iPSC	Single Cell	pass
ERR1562118	iPSC	Single Cell	pass
ERR1562119	iPSC	Single Cell	pass
ERR1562120	iPSC	Single Cell	pass
ERR1562121	iPSC	Single Cell	pass
ERR1562122	iPSC	Single Cell	pass
ERR1562123	iPSC	Single Cell	pass
ERR1562124	iPSC	Single Cell	pass
ERR1562125	iPSC	Single Cell	pass
ERR1562126	iPSC	Single Cell	pass
ERR1562127	iPSC	Single Cell	pass
ERR1562128	iPSC	Single Cell	pass
ERR1562129	iPSC	Single Cell	pass
ERR1562130	iPSC	Single Cell	pass
ERR1562131	iPSC	Single Cell	pass
ERR1562132	iPSC	Single Cell	pass
ERR1562133	iPSC	Single Cell	pass
ERR1562134	iPSC	Single Cell	pass
ERR1562135	iPSC	Single Cell	pass
ERR1562136	iPSC	Single Cell	pass
ERR1562137	iPSC	Single Cell	pass
ERR1562138	iPSC	Single Cell	pass
ERR1562139	iPSC	Single Cell	pass
ERR1562140	iPSC	Single Cell	pass
ERR1562141	iPSC	Single Cell	pass
ERR1562142	iPSC	Single Cell	pass
ERR1562143	iPSC	Single Cell	pass
ERR1562144	iPSC	Single Cell	pass
ERR1562145	iPSC	Single Cell	pass
ERR1562146	iPSC	Single Cell	pass
ERR1562147	Unknown	Single Cell	fail
ERR1562148	Unknown	Single Cell	fail
ERR1562149	Unknown	Single Cell	fail
ERR1562150	Unknown	Single Cell	fail
ERR1562151	Unknown	Single Cell	fail
ERR1562152	Unknown	Single Cell	fail
ERR1562153	Unknown	Single Cell	fail
ERR1562154	Unknown	Single Cell	fail
ERR1562155	iPSC	Single Cell	pass
ERR1562156	iPSC	Single Cell	pass
ERR1562157	iPSC	Single Cell	pass
ERR1562158	iPSC	Single Cell	pass
ERR1562159	iPSC	Single Cell	pass
ERR1562160	iPSC	Single Cell	pass
ERR1562161	iPSC	Single Cell	pass
ERR1562162	iPSC	Single Cell	pass
ERR1562163	iPSC	Single Cell	pass
ERR1562164	iPSC	Single Cell	pass
ERR1562165	iPSC	Single Cell	pass
ERR1562166	iPSC	Single Cell	pass
ERR1562167	iPSC	Single Cell	pass
ERR1562168	iPSC	Single Cell	pass
ERR1562169	iPSC	Single Cell	pass
ERR1562170	iPSC	Single Cell	pass
ERR1562171	iPSC	Single Cell	pass
ERR1562172	iPSC	Single Cell	pass
ERR1562173	iPSC	Single Cell	pass
ERR1562174	iPSC	Single Cell	pass
ERR1562175	iPSC	Single Cell	pass
ERR1562176	iPSC	Single Cell	pass
ERR1562177	iPSC	Single Cell	pass
ERR1562178	Unknown	Single Cell	fail
ERR1562179	Unknown	Single Cell	pass
ERR1562180	Endoderm	Single Cell	pass
ERR1562181	Unknown	Single Cell	fail
ERR1562182	Unknown	Single Cell	fail
ERR1562183	Endoderm	Single Cell	pass
ERR1562184	Endoderm	Single Cell	pass
ERR1562185	Endoderm	Single Cell	fail
ERR1562186	Unknown	Single Cell	pass
ERR1562187	Unknown	Single Cell	fail
ERR1562188	Endoderm	Single Cell	pass
ERR1562189	Endoderm	Single Cell	pass
ERR1562190	Endoderm	Single Cell	pass
ERR1562191	Unknown	Single Cell	fail
ERR1562192	Unknown	Single Cell	fail
ERR1562193	Unknown	Single Cell	fail
ERR1562194	Endoderm	Single Cell	pass
ERR1562195	Endoderm	Single Cell	pass
ERR1562196	Unknown	Single Cell	fail
