tran_id	gene_id	gene_short_name	gene_type
chr7:39696685:39696859:+@chr7:39697408:39697510:+@chr7:39706123:39708120	ENSG00000006451.8	RALA	protein_coding
chr19:52190048:52190174:+@chr19:52200274:52200398:+@chr19:52201944:52202034	ENSG00000105568.18	PPP2R1A	protein_coding
chr15:24962114:24962209:+@chr15:24967029:24967152:+@chr15:24967932:24968082	ENSG00000128739.22	SNRPN	protein_coding
chr15:24962114:24962209:+@chr15:24967029:24967240:+@chr15:24967932:24968082	ENSG00000128739.22	SNRPN	protein_coding
chr1:36224432:36224505:+@chr1:36224971:36225102:+@chr1:36259382:36259484	ENSG00000054118.15	THRAP3	protein_coding
chr10:78037194:78037304:+@chr10:78037439:78037441:+@chr10:78040204:78040225	ENSG00000138326.20	RPS24	protein_coding
chr10:78037194:78037304:+@chr10:78037965:78037982:+@chr10:78040204:78040225	ENSG00000138326.20	RPS24	protein_coding
chr10:78037194:78037304:+@chr10:78037965:78037993:+@chr10:78040204:78040225	ENSG00000138326.20	RPS24	protein_coding
chr10:78037194:78037304:+@chr10:78040201:78040225:+@chr10:78040615:78040747	ENSG00000138326.20	RPS24	protein_coding
chr10:78037194:78037304:+@chr10:78040204:78040225:+@chr10:78040615:78040747	ENSG00000138326.20	RPS24	protein_coding
chr12:56158362:56158711:+@chr12:56159587:56159730:+@chr12:56159975:56160148	ENSG00000092841.18	MYL6	protein_coding
chr4:39774834:39774933:+@chr4:39777682:39777810:+@chr4:39778360:39782792	ENSG00000078140.14	UBE2K	protein_coding
chr11:62885465:62885608:+@chr11:62886437:62886568:+@chr11:62888135:62888218	ENSG00000168003.16	SLC3A2	protein_coding
chr4:165340221:165340375:+@chr4:165340722:165340813:+@chr4:165341751:165343164	ENSG00000052802.13	MSMO1	protein_coding
chrX:136879017:136879123:-@chrX:136877915:136878086:-@chrX:136876503:136876655	ENSG00000147274.14	RBMX	protein_coding
chr7:96277196:96277338:-@chr7:96234802:96234917:-@chr7:96208838:96208977	ENSG00000004864.13	SLC25A13	protein_coding
chr2:65104734:65104806:-@chr2:65097971:65098066:-@chr2:65090983:65091078	ENSG00000138069.18	RAB1A	protein_coding
chr12:110502049:110502117:-@chr12:110499535:110499546:-@chr12:110496012:110496203	ENSG00000111237.18	VPS29	protein_coding
chr22:41688794:41688981:-@chr22:41682356:41682587:-@chr22:41680244:41680364	ENSG00000100138.15	SNU13	protein_coding
chr9:35685269:35685339:-@chr9:35685064:35685139:-@chr9:35684732:35684807	ENSG00000198467.15	TPM2	protein_coding
